date,actual_target,prediction,prediction_correct,actual_return_pct,strategy_return_pct,strategy_return_after_costs_pct,reasoning_balance_before,reasoning_balance_after,buy_hold_balance_before,buy_hold_balance_after
2024-12-30,-1,1,False,-0.9265560383185931,-0.9265560383185931,-0.9265560383185931,9428.355742303589,9340.996742859117,10536.679536679541,10439.051296194157
2024-12-31,1,1,True,2.4358025995984356,2.4358025995984356,2.4358025995984356,9340.996742859117,9568.524984350084,10439.051296194157,10693.325979040268
2025-01-01,1,1,True,7.169752927219264,7.169752927219264,7.169752927219264,9568.524984350084,10254.56458450723,10693.325979040268,11460.011031439606
2025-01-02,1,1,True,4.803388362131189,4.803388362131189,4.803388362131189,10254.56458450723,10747.131146346677,11460.011031439606,12010.479867622727
2025-01-03,-1,1,False,-0.5189437428243404,-0.5189437428243404,-0.5189437428243404,10747.131146346677,10691.359581729585,12010.479867622727,11948.152233866522
2025-01-04,-1,1,False,-1.4910903886991125,-1.4910903886991125,-1.4910903886991125,10691.359581729585,10531.941746585153,11948.152233866522,11769.9944842802
2025-01-05,1,1,True,2.4977740287736028,2.4977740287736028,2.4977740287736028,10531.941746585153,10795.005852256922,11769.9944842802,12063.982349696636
2025-01-06,-1,1,False,-7.539319678127289,-7.539319678127289,-7.539319678127289,10795.005852256922,9981.135851782723,12063.982349696636,11154.440154440155
2025-01-07,-1,-1,True,-2.309251841962112,2.309251841962112,2.309251841962112,9981.135851782723,10211.625415288756,11154.440154440155,10896.856039713184
2025-01-08,-1,-1,True,-6.3423769993925845,6.3423769993925845,6.3423769993925845,10211.625415288756,10859.285196892157,10896.856039713184,10205.736348593493
2025-01-09,1,-1,False,1.3781548938010202,-1.3781548938010202,-1.3781548938010202,10859.285196892157,10709.627426519377,10205.736348593493,10346.387203530063
2025-01-10,1,-1,False,0.2239044674272161,-0.2239044674272161,-0.2239044674272161,10709.627426519377,10685.64809226659,10346.387203530063,10369.553226696084
2025-01-11,1,-1,False,0.2978723404255312,-0.2978723404255312,-0.2978723404255312,10685.64809226659,10653.81850220452,10369.553226696084,10400.441257584114
2025-01-12,-1,-1,True,-3.0335171828595686,3.0335171828595686,3.0335171828595686,10653.81850220452,10977.003917099568,10400.441257584114,10084.942084942084
2025-01-13,1,-1,False,2.5486764384160976,-2.5486764384160976,-2.5486764384160976,10977.003917099568,10697.235604620439,10084.942084942084,10341.974627688913
2025-01-14,1,1,True,9.818666666666664,9.818666666666664,9.818666666666664,10697.235604620439,11747.561511186104,10341.974627688913,11357.418643132927
2025-01-15,1,1,True,2.583653052304391,2.583653052304391,2.583653052304391,11747.561511186104,12051.0777427412,11357.418643132927,11650.85493656922
2025-01-16,1,1,True,3.971973677981344,3.971973677981344,3.971973677981344,12051.0777427412,12529.743378595947,11650.85493656922,12113.62382790954
2025-01-17,1,1,True,19.23777433749203,19.23777433749203,19.23777433749203,12529.743378595947,14940.187134837086,12113.62382790954,14444.01544401544
2025-01-18,-1,-1,True,-4.30748081108947,4.30748081108947,4.30748081108947,14940.187134837086,15583.732828811051,14444.01544401544,13821.842250413676
