date,sol_close,btc_close,eth_close,sol_return_1d,sol_return_3d,sol_return_7d,sol_volatility_7d,sol_price_relative_to_btc,sol_price_relative_to_eth,target_next_day
2023-07-20,25.38,29792.02,1890.97,-3.754266211604107,-5.545217714923711,-2.4971187091817226,3.2986676467351965,0.0008519059801920111,0.01342168305155555,0.0
2023-07-21,25.54,29908.74,1892.08,0.6304176516942483,0.0,-4.487658937920713,3.0632554630013056,0.0008539309914092,0.013498372161853622,-1.0
2023-07-22,24.54,29771.8,1864.91,-3.9154267815191823,-6.93970420932879,-10.405257393209212,2.9492019348271388,0.0008242699467281118,0.013158811953391851,0.0
2023-07-23,24.77,30084.54,1889.19,0.9372453137734382,-2.4034672970843163,-9.532505478451425,3.0519983789135376,0.0008233464762964632,0.013111439294089,-1.0
2023-07-24,23.38,29176.92,1850.0,-5.611626968106586,-8.457321848081445,-12.988462969854863,3.4532366850652956,0.0008013183022745375,0.012637837837837838,0.0
2023-07-25,23.28,29227.39,1857.74,-0.42771599657825954,-5.134474327628357,-8.848864526233346,3.2052347178482936,0.000796513133742014,0.012531355302679601,1.0
2023-07-26,25.18,29354.97,1872.16,8.161512027491401,1.6552280985062673,-4.512703830109976,4.595681985207015,0.0008577763833517799,0.01344970515340569,0.0
2023-07-27,25.1,29210.69,1860.36,-0.3177124702144485,7.356715141146286,-1.1032308904649235,4.376999944863281,0.0008592744642457951,0.013492012298694877,0.0
2023-07-28,24.85,29319.25,1874.74,-0.9960159362549792,6.743986254295531,-2.701644479248233,4.3763192693510184,0.0008475660189124893,0.013255171383765215,0.0
2023-07-29,25.17,29356.92,1881.07,1.2877263581488885,-0.039714058776796346,2.5672371638141955,4.094686003038105,0.0008573787713424979,0.013380682271260507,-1.0
2023-07-30,24.26,29275.31,1861.64,-3.615415176797776,-3.3466135458167345,-2.0589422688736314,4.354620172867176,0.0008286846492829624,0.013031520594744418,-1.0
2023-07-31,23.72,29230.11,1856.16,-2.2258862324814666,-4.5472837022132895,1.4542343883661157,3.8094741362674087,0.0008114919854903043,0.012779070769761227,0.0
2023-08-01,24.0,29675.73,1871.79,1.180438448566612,-4.648390941597147,3.092783505154628,3.809111865328492,0.0008087416889154876,0.012821951180420881,-1.0
2023-08-02,23.15,29151.96,1839.09,-3.5416666666666763,-4.575432811211888,-8.061953931691823,2.0429221735039182,0.0007941147010355393,0.012587747201061395,-1.0
2023-08-03,22.64,29178.68,1835.14,-2.203023758099343,-4.553119730185495,-9.800796812749002,2.035247870681865,0.0007759089856018162,0.012336933421973255,0.0
2023-08-04,22.79,29074.09,1827.71,0.6625441696113121,-5.041666666666666,-8.289738430583505,2.1870846767783423,0.0007838594432362285,0.012469155391172559,0.0
2023-08-05,22.63,29042.13,1834.99,-0.7020623080298383,-2.246220302375812,-10.091378625347646,1.9218983010581936,0.0007792128194454057,0.012332492275162261,1.0
2023-08-06,23.19,29041.86,1827.46,2.4745912505523826,2.4293286219081223,-4.410552349546581,2.163741585137477,0.0007985025752482795,0.012689744235167938,0.0
2023-08-07,23.07,29180.58,1826.94,-0.5174644243208348,1.2286090390522197,-2.7403035413153365,2.0458374223055693,0.000790594292505495,0.012627672501559986,1.0
2023-08-08,24.21,29765.49,1855.81,4.941482444733425,6.9818824569156,0.8750000000000036,2.8565941273822792,0.0008133580196395221,0.013045516513005104,0.0
2023-08-09,24.38,29561.49,1854.3,0.7021891780256029,5.131522207848205,5.313174946004318,2.3447210417084783,0.0008247216226245699,0.013147818583832174,0.0
2023-08-10,24.61,29429.59,1850.75,0.9433962264151052,6.675335934113558,8.701413427561832,1.9490063016113175,0.0008362331925113465,0.013297311900580845,0.0
2023-08-11,24.58,29397.71,1847.12,-0.12190166598944341,1.5282940933498468,7.854322071083808,2.007729713292701,0.000836119548087249,0.01330720256399151,0.0
2023-08-12,24.91,29415.96,1848.89,1.3425549227013889,2.1739130434782705,10.075121520106055,1.8433777476793496,0.0008468192097079273,0.013472948634045292,-1.0
2023-08-13,24.24,29282.91,1839.28,-2.6896828582898547,-1.5034538805363762,4.527813712807238,2.3129051184238114,0.000827786582685942,0.013179070070897306,1.0
2023-08-14,25.14,29408.44,1844.19,3.712871287128716,2.278275020341747,8.972691807542255,2.499924219281198,0.0008548566329937936,0.013632001041107478,-1.0
2023-08-15,23.9,29170.35,1826.93,-4.932378679395388,-4.054596547571265,-1.280462618752587,2.839986905906771,0.000819325102372786,0.013082055689052125,-1.0
2023-08-16,22.81,28701.78,1805.66,-4.560669456066946,-5.899339933993398,-6.439704675963909,3.2448605349873354,0.0007947242296470811,0.012632500027690705,-1.0
2023-08-17,21.71,26664.55,1684.93,-4.822446295484428,-13.643595863166269,-11.783827712312068,3.4254767511177158,0.0008141896263015877,0.012884808270966747,0.0
2023-08-18,21.34,26049.56,1660.95,-1.704283740211887,-10.7112970711297,-13.181448331977208,3.3535468620471596,0.0008192076948708539,0.012848068876245521,1.0
2023-08-19,21.88,26096.21,1669.47,2.5304592314901564,-4.0771591407277485,-12.163789642713773,3.5709718021863095,0.0008384359261364006,0.013105955782374046,0.0
2023-08-20,21.77,26189.58,1684.85,-0.5027422303473417,0.2763703362505643,-10.189768976897684,3.5738748481597473,0.0008312466255663511,0.012921031545834941,-1.0
2023-08-21,21.21,26124.14,1667.27,-2.5723472668810254,-0.6091846298031833,-15.632458233890212,2.7496815344759606,0.0008118927551299297,0.012721394855062467,-1.0
2023-08-22,20.55,26031.66,1633.89,-3.111739745403108,-6.078610603290668,-14.016736401673635,2.544996398520841,0.0007894233406551868,0.01257734608816995,1.0
2023-08-23,21.7,26431.64,1679.27,5.596107055961053,-0.3215434083601254,-4.866286716352475,3.592284962556112,0.0008209857579779385,0.012922281705741185,-1.0
2023-08-24,21.03,26162.37,1659.94,-3.0875576036866303,-0.8486562942008447,-3.1321971441731877,3.3052434682348104,0.0008038262588595759,0.0126691326192513,-1.0
2023-08-25,20.39,26047.67,1652.94,-3.0432715168806523,-0.7785888077858849,-4.45173383317713,3.4292242614889554,0.0007827955437088999,0.012335595968395707,0.0
2023-08-26,20.28,26008.46,1646.31,-0.5394801373222124,-6.543778801843314,-7.312614259597794,3.147030720405438,0.0007797462825557531,0.01231845764163493,1.0
2023-08-27,20.79,26089.69,1657.51,2.51479289940828,-1.1412268188302543,-4.5016077170418,3.4266985729696784,0.0007968665016717332,0.012542910751669674,0.0
2023-08-28,20.56,26106.15,1652.46,-1.1063011063011108,0.8337420304070475,-3.064592173503078,3.3299385235596857,0.0007875538905583549,0.012442056086077725,1.0
2023-08-29,21.78,27727.39,1729.73,5.933852140077822,7.396449704142016,5.985401459854023,3.8198571757307223,0.0007855048744220066,0.012591560532568668,-1.0
2023-08-30,20.83,27297.27,1705.11,-4.36179981634528,0.19240019240018835,-4.009216589861753,3.6268587666808365,0.000763079971000763,0.012216220654385934,-1.0
2023-08-31,19.74,25931.47,1645.64,-5.232837253960632,-3.988326848249024,-6.134094151212565,3.955063135480423,0.000761237214859011,0.011995333122675674,-1.0
2023-09-01,19.33,25800.72,1628.49,-2.0770010131712313,-11.248852157943078,-5.198626777832283,3.8812609373284825,0.000749203898185787,0.011869891740201043,0.0
2023-09-02,19.49,25868.8,1637.03,0.8277289187790915,-6.433029284685555,-3.8954635108481406,3.9245822036560623,0.0007534172439386442,0.011905707286977025,0.0
2023-09-03,19.58,25969.57,1636.12,0.46177526936890256,-0.8105369807497431,-5.820105820105825,3.733788608577328,0.0007539593454955164,0.011967337359117912,0.0
2023-09-04,19.5,25812.42,1629.66,-0.40858018386107364,0.8794619762028111,-5.155642023346296,3.733359848845771,0.0007554502832357447,0.011965686094031883,1.0
2023-09-05,20.27,25779.98,1633.63,3.948717948717939,4.002052334530526,-6.93296602387512,3.1804596266167495,0.0007862690351194997,0.012407950392683777,-1.0
2023-09-06,19.62,25753.24,1632.25,-3.2067094227922976,0.20429009193054792,-5.808929428708575,3.0004738209708646,0.0007618458881290276,0.01202021749119314,0.0
2023-09-07,19.89,26240.2,1647.6,1.3761467889908285,2.0000000000000018,0.7598784194529085,2.346164248406089,0.000757997271362261,0.0120721048798252,0.0
2023-09-08,19.6,25905.65,1636.14,-1.4580191050779234,-3.3053774050320617,1.3967925504397405,2.2590927799527454,0.000756591708758514,0.011979414964489591,0.0
2023-09-09,19.45,25895.68,1635.16,-0.7653061224489943,-0.8664627930683011,-0.20523345305284435,2.2679079997385743,0.0007510905293855963,0.011894860441791628,-1.0
2023-09-10,18.25,25832.23,1616.83,-6.169665809768632,-8.245349421820015,-6.792645556690491,3.223125195337242,0.0007064817865124304,0.011287519405255964,-1.0
2023-09-11,17.74,25162.65,1551.64,-2.7945205479452118,-9.48979591836736,-9.025641025641029,3.2813694489596674,0.0007050131842234422,0.011433064370601426,0.0
2023-09-12,17.93,25833.34,1592.43,1.0710259301014657,-7.814910025706934,-11.544153922052292,2.6305644488195203,0.000694064337015655,0.011259521611625,1.0
2023-09-13,18.4,26228.32,1607.99,2.62130507529279,0.8219178082191636,-6.218144750254851,2.976261975347908,0.0007015317793896063,0.0114428572316992,1.0
2023-09-14,18.84,26539.67,1626.97,2.3913043478260843,6.200676437429542,-5.2790346907994,3.125191811116417,0.0007098807181852676,0.011579807863697548,0.0
2023-09-15,19.17,26608.69,1641.64,1.7515923566879144,6.915783602900172,-2.1938775510204067,3.233985113668013,0.0007204413295055113,0.011677347043200703,0.0
2023-09-16,19.14,26568.28,1635.22,-0.15649452269170805,4.021739130434798,-1.5938303341902271,3.226641836544368,0.0007204079451134963,0.011704847054219005,0.0
2023-09-17,18.83,26534.19,1622.9,-1.6196447230930056,-0.05307855626327518,3.1780821917808177,2.071205266115308,0.0007096504547529055,0.011602686548770717,1.0
2023-09-18,19.66,26754.28,1637.35,4.40785979819438,2.556077203964513,10.822998872604295,1.9676854350260349,0.0007348356973164668,0.012007206767032095,0.0
2023-09-19,20.04,27211.12,1643.54,1.9328585961342792,4.702194357366762,11.76798661461238,1.9636740350094422,0.0007364636222250315,0.01219319274249486,0.0
2023-09-20,20.3,27132.01,1622.89,1.2974051896207595,7.80669144981414,10.326086956521753,1.9141107111140019,0.0007481937386872554,0.01250854956281695,-1.0
2023-09-21,19.48,26567.63,1584.31,-4.039408866995076,-0.915564598168872,3.397027600849256,2.7403198188267752,0.000733223098936563,0.012295573467313848,0.0
2023-09-22,19.44,26579.57,1593.27,-0.2053388090349051,-2.9940119760478945,1.4084507042253502,2.692010457485436,0.0007313888072681388,0.012201321809862735,0.0
2023-09-23,19.47,26579.39,1593.86,0.15432098765431057,-4.088669950738922,1.724137931034475,2.6871120672289446,0.0007325224544280361,0.012215627470417729,0.0
2023-09-24,19.37,26256.83,1580.85,-0.5136106831021947,-0.5646817248459945,2.867764206054191,2.587789677210139,0.0007377128160558605,0.012252901919853244,0.0
2023-09-25,19.4,26298.48,1588.32,0.15487867836860847,-0.2057613168724437,-1.322482197355046,1.9095176251186345,0.0007376852198301955,0.0122141633927672,0.0
2023-09-26,19.02,26217.25,1593.42,-1.9587628865979312,-2.3112480739599373,-5.089820359281438,1.7540213145627668,0.0007254765469299792,0.011936589223180328,0.0
2023-09-27,19.13,26352.72,1597.49,0.5783385909568839,-1.239029426948901,-5.763546798029562,1.6323271400516164,0.000725921271124954,0.011975035837470031,1.0
2023-09-28,19.96,27021.55,1652.88,4.338734971249347,2.886597938144342,2.4640657084188833,1.9331205649421817,0.0007386696914129649,0.012075891776777503,0.0
