Date              Price         Open        High        Low          Change %
Jul 31, 2025	6,221.81	6,275.33	6,281.38	6,211.31		-1.85%
Jul 30, 2025	6,339.39	6,427.02	6,427.02	6,327.64		-0.37%
Jul 29, 2025	6,362.90	6,381.23	6,396.54	6,336.38		-0.12%
Jul 28, 2025	6,370.86	6,405.62	6,409.26	6,363.92		-0.30%
Jul 27, 2025	6,389.77	6,397.69	6,401.07	6,375.79		+0.02%
Jul 24, 2025	6,388.64	6,370.01	6,395.82	6,368.53		+0.40%
Jul 23, 2025	6,363.35	6,368.60	6,381.31	6,360.57		+0.07%
Jul 22, 2025	6,358.91	6,326.90	6,360.64	6,317.49		+0.78%
Jul 21, 2025	6,309.62	6,306.60	6,316.12	6,281.71		+0.06%
Jul 20, 2025	6,305.60	6,304.74	6,336.08	6,303.79		+0.14%
Jul 17, 2025	6,296.79	6,312.95	6,315.61	6,285.27		-0.01%
Jul 16, 2025	6,297.36	6,263.40	6,304.69	6,262.27		+0.54%
Jul 15, 2025	6,263.70	6,254.50	6,268.12	6,201.59		+0.32%
Jul 14, 2025	6,243.76	6,295.29	6,302.04	6,241.68		-0.40%
Jul 13, 2025	6,268.56	6,255.15	6,273.31	6,239.22		+0.14%
Jul 10, 2025	6,259.75	6,255.68	6,269.44	6,237.60		-0.33%
Jul 09, 2025	6,280.46	6,266.80	6,290.22	6,251.44		+0.27%
Jul 08, 2025	6,263.26	6,243.33	6,269.16	6,231.43		+0.61%
Jul 07, 2025	6,225.52	6,234.03	6,242.70	6,217.75		-0.07%
Jul 06, 2025	6,229.98	6,259.04	6,262.07	6,201.00		-0.79%
Jul 02, 2025	6,279.35	6,246.46	6,284.65	6,246.46		+0.83%
Jul 01, 2025	6,227.42	6,193.88	6,227.60	6,188.29		+0.47%
Jun 30, 2025	6,198.01	6,187.25	6,210.78	6,177.97		-0.11%
Jun 29, 2025	6,204.95	6,193.36	6,215.08	6,174.97		+0.52%
Jun 26, 2025	6,173.07	6,150.70	6,187.68	6,132.35		+0.52%
Jun 25, 2025	6,141.02	6,112.09	6,146.52	6,107.27		+0.80%
Jun 24, 2025	6,092.16	6,104.23	6,108.51	6,080.09		0.00%
Jun 23, 2025	6,092.18	6,061.21	6,101.76	6,059.25		+1.11%
Jun 22, 2025	6,025.17	5,969.67	6,028.77	5,943.23		+0.96%
Jun 19, 2025	5,967.84	5,999.67	6,018.20	5,952.56		-0.22%
Jun 17, 2025	5,980.87	5,987.93	6,018.25	5,971.89		-0.03%
Jun 16, 2025	5,982.72	6,012.15	6,023.25	5,974.80		-0.84%
Jun 15, 2025	6,033.11	6,004.00	6,050.83	6,004.00		+0.94%
Jun 12, 2025	5,976.97	6,000.56	6,026.16	5,963.21		-1.13%
Jun 11, 2025	6,045.26	6,009.90	6,045.43	6,003.88		+0.38%
Jun 10, 2025	6,022.24	6,049.38	6,059.40	6,002.32		-0.27%
Jun 09, 2025	6,038.81	6,009.91	6,043.01	6,000.28		+0.55%
