Date	Open	High	Low	Close 	Adj Close 	Volume
Aug 1, 2025	115,758.29	116,025.83	113,874.85	113,874.85	113,874.85	89,286,352,896
Jul 30, 2025	117,921.99	118,780.73	115,800.83	117,831.19	117,831.19	68,896,148,592
Jul 29, 2025	117,938.59	119,273.87	116,987.37	117,922.15	117,922.15	68,463,107,433
Jul 28, 2025	119,457.52	119,819.79	117,441.44	117,924.48	117,924.48	64,822,943,193
Jul 27, 2025	117,944.73	119,815.59	117,859.69	119,448.49	119,448.49	54,683,390,892
Jul 26, 2025	117,644.84	118,335.69	117,181.23	117,947.37	117,947.37	48,508,954,046
Jul 25, 2025	118,368.00	118,486.98	114,759.82	117,635.88	117,635.88	104,857,024,569
Jul 24, 2025	118,770.98	119,535.45	117,247.97	118,368.00	118,368.00	72,627,318,560
Jul 23, 2025	119,997.45	120,113.35	117,391.39	118,754.96	118,754.96	66,608,604,537
Jul 22, 2025	117,426.50	120,269.97	116,233.23	119,995.41	119,995.41	79,217,583,118
Jul 21, 2025	117,306.47	119,671.56	116,584.40	117,439.54	117,439.54	69,820,091,744
Jul 20, 2025	117,944.11	118,865.03	116,550.13	117,300.79	117,300.79	57,515,447,231
Jul 19, 2025	117,998.13	118,541.40	117,388.41	117,939.98	117,939.98	47,564,562,765
Jul 18, 2025	119,284.11	120,851.91	116,925.98	118,003.23	118,003.23	77,945,799,785
Jul 17, 2025	118,738.51	120,999.61	117,508.22	119,289.84	119,289.84	72,363,841,798
Jul 16, 2025	117,777.19	120,065.52	117,064.82	118,738.51	118,738.51	72,162,029,070
Jul 15, 2025	119,850.57	119,893.48	115,955.16	117,727.52	117,727.52	98,256,969,728
Jul 14, 2025	119,115.79	123,091.61	118,959.20	119,849.70	119,849.70	181,746,419,401
Jul 13, 2025	117,432.20	119,449.57	117,265.44	119,116.12	119,116.12	49,021,091,807
Jul 12, 2025	117,530.71	118,219.90	116,977.02	117,435.23	117,435.23	45,524,560,304
Jul 11, 2025	115,986.23	118,856.48	115,245.69	117,516.99	117,516.99	86,928,361,085
Jul 10, 2025	111,329.20	116,608.78	110,660.75	115,987.20	115,987.20	95,911,605,728
Jul 9, 2025	108,950.27	111,925.38	108,357.68	111,326.55	111,326.55	57,927,418,065
Jul 8, 2025	108,298.23	109,198.97	107,499.55	108,950.27	108,950.27	44,282,204,127
Jul 7, 2025	109,235.33	109,710.25	107,527.05	108,299.85	108,299.85	45,415,696,597
Jul 6, 2025	108,231.19	109,731.63	107,847.02	109,232.07	109,232.07	36,746,020,463
Jul 5, 2025	108,015.84	108,381.34	107,842.27	108,231.18	108,231.18	30,615,537,520
Jul 4, 2025	109,635.66	109,751.98	107,296.38	108,034.34	108,034.34	42,616,442,656
Jul 3, 2025	108,845.02	110,541.46	108,605.80	109,647.98	109,647.98	50,494,742,270
Jul 2, 2025	105,703.10	109,763.66	105,157.40	108,859.32	108,859.32	56,248,657,737
Jul 1, 2025	107,144.38	107,550.68	105,270.23	105,698.28	105,698.28	44,110,692,247
Jun 30, 2025	108,383.44	108,798.79	106,759.65	107,135.34	107,135.34	42,064,804,590
Jun 29, 2025	107,327.82	108,526.30	107,230.11	108,385.57	108,385.57	35,534,874,438
Jun 28, 2025	107,090.55	107,567.88	106,883.98	107,327.70	107,327.70	30,037,708,335
